Cities,Hotel,Review,Sentiment
Jakarta Barat,Hotel Santika Premiere Slipi Jakarta,Banyak hotel di lokasi ini dengan pelayanan lebih baik.,Neutral
Jakarta Pusat,Zuri Express Hotel Mangga Dua,Sisir sikat gigi cuma ada satu,Neutral
Jakarta Pusat,Zuri Express Hotel Mangga Dua,Ada serangga di kamar mandi.,Neutral
Puncak,Hotel Ariandri Puncak,buat yang hemat kesini aja.,Neutral
Puncak,Hotel Ariandri Puncak,"Sarapan pagi nasi goreng + telur + tahu/tempe orek, roti tawar + selai, air putih, teh panas, kopi hitam panas.",Neutral
Puncak,Hotel Ariandri Puncak,Variasi kacang hijau.,Neutral
Puncak,Hotel Ariandri Puncak,Perlu renovasi atau perbaikan untuk kondisi kamar yang ada sekarang.,Neutral
Puncak,Hotel Ariandri Puncak,padahal pas saya order masih ada!,Neutral
Puncak,Hotel Ariandri Puncak,"Pemandangannya bagus tapi kolam renang agak kecil, sarapan biasa aja kurang variatif.",Neutral
Puncak,Hotel Ariandri Puncak,View nya memanjakan mata dan udara nya masih sangat sejuk.,Neutral
Puncak,Hotel Ariandri Puncak,karena efek kegedean kali ya,Neutral
Puncak,Hotel Ariandri Puncak,Anak saya menikmati karena ada kolam renangnya.,Neutral
Puncak,Hotel Ariandri Puncak,Ada harga ada barang.,Neutral
Puncak,Hotel Ariandri Puncak,air panas lancar.,Neutral
Puncak,Hotel Ariandri Puncak,kasur berasa per nya.,Neutral
Puncak,Hotel Ariandri Puncak,view di belakang hotel top.,Neutral
Puncak,Hotel Ariandri Puncak,Untuk next holiday mungkin saya balik lagi kalau tidak ada pilihan hotel lain yang lebih baik.,Neutral
Puncak,Hotel Ariandri Puncak,"Pesen 3 kamar untuk keluarga, minta berdekatan tp tidak bisa (ga masalah sih karena musim liburan kali) satu di deket loby, 2 di deket restoran.",Neutral
Puncak,Hotel Ariandri Puncak,"Lanjut kamar yang deket restoran tidak bisa di kunci dari luaruntuk sarapan nya standar nasi goreng dan roti, kolam renang nya bersih ada untuk dewasa dan anak (kecil).",Neutral
Puncak,Hotel Ariandri Puncak,"Saran kalau mau nyaman mending pilih kamar di atas walaupun lebih kecil, karena kalau dibawah mirip losmen.",Neutral
Puncak,Pondok Remaja PGI,Bakal balik lagi ke Pondok Remaja PGI.,Neutral
Puncak,Pondok Remaja PGI,cuma kalau bisa kasih AC atau kipas angin ajh harusnya d kamar 1.,Neutral
Jakarta Selatan,Ambhara Hotel,Shower cap ga ada.,Neutral
Jakarta Selatan,Ambhara Hotel,terutama air mineral 45 ribu dll.,Neutral
Jakarta Selatan,Ambhara Hotel,Tingkatkan lagi,Neutral
Jakarta Selatan,Ambhara Hotel,Tepat sebelum malam tahun baru.,Neutral
Jakarta Selatan,Ambhara Hotel,mata kiri saya kelilipan sehingga saya terpaksa turun dari kamar untuk mencari taksi supaya dapat ke UGD RSPP eh ternyata dengan sigap salah satu security hotel menolong dan mendampingi saya menuju ke rumah sakit dekat hotel hingga mata saya bisa melihat lagi.,Neutral
Jakarta Selatan,Ambhara Hotel,Pada saat check in dan mendapatkan kamar.,Neutral
Jakarta Selatan,Ambhara Hotel,Toilet flush nya rusak.,Neutral
Jakarta Selatan,Ambhara Hotel,ACnya tampyas sampai membanjiri kamar.,Neutral
Jakarta Selatan,Ambhara Hotel,Untuk breakfast harus berpakaian rapih lengkap dengan sepatu,Neutral
Jakarta Selatan,Ambhara Hotel,"Masih kurang informasi karyawan, saya membawa 2 anak, usia 7 tahun pada saat akan breakfast dikatakan kena charge setengah harga makan.",Neutral
Jakarta Selatan,Ambhara Hotel,"Cukup kaget kenapa tidak dibilangin saat check in, ini disampaikan saat akan masuk ruang makan.",Neutral
Jakarta Selatan,Ambhara Hotel,Tapi pada saat check out malah tidak ada tagihan.,Neutral
Jakarta Pusat,Hotel Treva International by Ayola,Dapat kamar dengan monas.,Neutral
Jakarta Pusat,Hotel Treva International by Ayola,Hanya akses ke kolam renang perlu di jaga kerapihannya.,Neutral
Jakarta Pusat,Hotel Treva International by Ayola,Dekat dengan jajan kaki lima dan restro.,Neutral
Jakarta Pusat,Hotel Treva International by Ayola,"Pilihan makanan sangat sedikit saat sarapan, kolam renangnya oke di lantai paling atas",Neutral
Jakarta Pusat,Hotel Treva International by Ayola,Lift nya juga dalam perbaikan.. Cukup ah menginap disini,Neutral
Medan,Exclusive Room near close to Kualanamu International Airport (AR2),Jauh dari transportasi dan lingkungannya sepi,Neutral
Solo,Guest House Puri Dewi,"Tempatnya di dalam perumahan, lokasi untuk parkir mobil tidak tersedia banyak.",Neutral
Solo,Victoria Guest House,Barang saya ketinggalan nggak dikasih tau pas check out.,Neutral
Solo,Victoria Guest House,sabun satu buah kecil.,Neutral
Solo,Victoria Guest House,minuman kopi/teh gratis di ruang tengah.,Neutral
Solo,Victoria Guest House,Tidak diperbolehkan merokok dalam kamar (disediakan area khusus untuk merokok).,Neutral
Medan,Kailani Inn ,Sarapan nya menu nya sedikit.,Neutral
Medan,Kailani Inn ,Kamar yang tersedia kurang memiliki penjelasan yang lengkap mengenai fasilitas yang disediakan.,Neutral
Medan,Kailani Inn ,Aku rekom buat yang visit kemedan,Neutral
Solo,Cozy Room Syariah near UMS at Griya Larasati ,"Cuma gak ada selimut dan tersedianya handuk, dan lebih ke kos2an eksklusif",Neutral
Badung,Cara Cara Inn,Ini hotel imut-imut tapi lengkap!!,Neutral
Badung,Cara Cara Inn,kalau ke Bali lagi pasti bakal menginap disini lagi!,Neutral
Badung,Cara Cara Inn,Hotel yang sempurna untuk backpackeran.,Neutral
Badung,Cara Cara Inn,Tapi kalau bawa keluarga mendingan pilih kamar paling gede.,Neutral
Badung,Cara Cara Inn,Cuma sayang waktu menginap kemarin itu lagi ramai jadi enggak kebagian berenang terus.,Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,Ya boleh lah balik lagi kalau ada rezeki.,Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,Keep up terus yah di segala sisi.,Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,"Dekat banget dari jalan Malioboro, jadi tidak bosen di hotel.",Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,jalan dari hotel ke jalan malioboro deket banget ok deh.,Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,"Sesuai dengan harga, tapi kebersihan harus di tingkatkan",Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,Tidak mau bantu angkat barang ke hotel.,Neutral
Yogyakarta,Amaris Hotel Malioboro - Jogja,Padahal barang cukup banyak,Neutral
Yogyakarta,Abadi Hotel Yogyakarta by Tritama Hospitality,Kalau bisa ac nya bersihkan agar tidak berbunyi saat di hidupkan,Neutral
Yogyakarta,Abadi Hotel Yogyakarta by Tritama Hospitality,"Mohon disediakan kran air wudhu, biar tidak report",Neutral
Yogyakarta,Abadi Hotel Yogyakarta by Tritama Hospitality,anakku sampai minta menginap disini lagi jika liburan ke jogja,Neutral
Yogyakarta,KJ Hotel Yogyakarta,bakal balik lagi apabila ke jogja.,Neutral
Yogyakarta,KJ Hotel Yogyakarta,Kolam renang kecil tidak bisa di pakai sedang di perbaiki,Neutral
Yogyakarta,KJ Hotel Yogyakarta,hanya makanan masih belum serasa bintang 4,Neutral
Yogyakarta,Sagan Hotel,air mandinya kurang panas yang untuk air panas dan bathtup tidak bisa dipergunakan .,Neutral
Yogyakarta,Sagan Hotel,"Lokasi sangat dekat dengan kampus Universitas Gadjah Mada, Malioboro dan jalan solo arah ke bandara.",Neutral
Yogyakarta,Sagan Hotel,Kalau untuk menginap acara wisuda Universitas Gadjah Mada sangat dekat.,Neutral
Yogyakarta,Sagan Hotel,Kamar besar tapi jangan pilih lantai 2 karena terasnya ketutup tembok bangunan.,Neutral
Yogyakarta,Sagan Hotel,Kulkas sudah di full in suhunya tetap tidak dingin.,Neutral
Yogyakarta,Sagan Hotel,Pas mau tidur ada anak serangga kecil 3 ekor.,Neutral
Yogyakarta,Sagan Hotel,saya pikir disingkirin selesai.,Neutral
Yogyakarta,Sagan Hotel,"Tenyata tidak smp 1 jam anak serangga muncul dari dalam selimut, dari balik sarung bantal, saat itu juga saya langsung check out.",Neutral
Yogyakarta,Sagan Hotel,Biasa saja.,Neutral
Yogyakarta,Sagan Hotel,E KTP saya hampir hilang karena kelalaian receipsionis,Neutral
Yogyakarta,Sagan Hotel,Pesan kamar superior tapi dikasih yang twin kasurnya.,Neutral
Yogyakarta,Sagan Hotel,Air panas tidak menyala.,Neutral
Yogyakarta,Sagan Hotel,Shower airnya kecil.,Neutral
Yogyakarta,Sagan Hotel,Teh sudah dalam keadaan terbuka.,Neutral
Yogyakarta,Sagan Hotel,Jujur saja kl saya rasa ini hotel lama.,Neutral
Yogyakarta,Sagan Hotel,Belakang kamar yang saya inapi Rumah kosong.,Neutral
Yogyakarta,Sagan Hotel,Tp smoga kedepan bisa di renov hotelnya.,Neutral
Yogyakarta,Sagan Hotel,Saat air masih menggenang ada kelabang.,Neutral
Yogyakarta,Sagan Hotel,Untuk makanan macam dan rasa biasa.,Neutral
Malang,Menara Hotel Malang,Yang lagi cari penginapan deket stasiun Malang ini boleh dicoba.,Neutral
Malang,Menara Hotel Malang,Untuk harga hotel Menara sangat bersahabat tetapi di hotel masih belum bisa bayar pakai debit/kredit dan juga kamar mandinya perlu di perbaiki lagi,Neutral
Malang,Menara Hotel Malang,Lokasi sih oke.,Neutral
Malang,Menara Hotel Malang,Deket dengan stasiun.,Neutral
Malang,Menara Hotel Malang,Kamar biasa banget.,Neutral
Malang,Menara Hotel Malang,Juga tidak ada televisi untuk hiburan.,Neutral
Malang,Menara Hotel Malang,Tambahkan kipas angin dan tv dengan harga di atas 200 rasanya kemahalan ya tidak ada 2 perangkat yang disebutkan tadi..,Neutral
Malang,Menara Hotel Malang,"lokasi dekat dengan stasiun kota malang dan aneka tempat makan, tapi kondisi hotel tanpa kipas, dan toiletnya perlu perbaikan.",Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),Tidak matching dengan kolam renangnya.,Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),saya cuma makan di hari pertama.,Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),Coba kokinya suruh tes sendiri.,Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),kemakan tidak masakannya.,Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),tingkatkan terus standard pelayanan.,Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),"Hotel syariah, hotel baru sesuai klasifikasi bintang.",Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),Hotel budget berbintang 5.,Neutral
Yogyakarta,Grand Dafam Rohan Jogja (DHM Syariah),Pertahankan harga budget dan sempurnakan fasilitas dan pelayanannya.,Neutral
Yogyakarta,Tara Hotel,Silahkan dicoba kalau tidak percaya,Neutral
Yogyakarta,Tara Hotel,Dekat hotel banyak yang Jual makanan.,Neutral
Yogyakarta,Tara Hotel,Breakfast bervariasi untuk peralatan mandi sebaiknya pakai sabun kemasan di botol saja lebih terasa privacynya.,Neutral
Yogyakarta,Tara Hotel,"Jangan refill bgtu, ngeri jika bekas orang.",Neutral
Yogyakarta,Tara Hotel,"overall ok. tp 1 catatan: saat check out dilakukan pemeriksaan kamar tp barang tamu tertinggal diam2 aja (kami baru sadar barang tertinggal setelah di bandung, telepon untuk complain katanya akan dikabari tp belum ada kabar jg, telepon kedua kali front office nadanya ngotot cuma berdasarkan keterangan house keeping)",Neutral
Yogyakarta,YATS Colony,Semua spot Instagramable.,Neutral
Yogyakarta,YATS Colony,"Lokasi memang biasa saja, tidak begitu strategis.",Neutral
Yogyakarta,YATS Colony,Semoga bisa berkembang lagi YATS.,Neutral
Yogyakarta,YATS Colony,Spot buat foto juga lumayan banyak.,Neutral
Yogyakarta,YATS Colony,Tipe green house.,Neutral
Yogyakarta,YATS Colony,"Instagramable abis, banyak spot foto, kamar ca room buka jendela view-nya keren,  swimming poolnya bagus.",Neutral
Kuala Lumpur,Chinatown Boutique Hotel,Bakal menginap sana lagi kalau ke kl,Neutral
Kuala Lumpur,Chinatown Boutique Hotel,Kalau saya ke KL nanti menginap lagi disini.,Neutral
Kuala Lumpur,Chinatown Boutique Hotel,Mantap tiap ke KL tetap tinggal di chinatown boutique kemana mana dekat,Neutral
Kuala Lumpur,Chinatown Boutique Hotel,"Lokasi dekat monoril pasar seni, naik bus go KL",Neutral
Kuala Lumpur,Chinatown Boutique Hotel,Kalau ke KL tetap tinggal di chinatown boutique kemana-mana dekat,Neutral
Kuala Lumpur,Fraser Residence Kuala Lumpur,Saran untuk ditambah beberapa tempat sampah lagi Untuk makanan biasa saja,Neutral
Kuala Lumpur,Fraser Residence Kuala Lumpur,pokoknya pingin ke hotel ini lagi lah.,Neutral
Kuala Lumpur,Fraser Residence Kuala Lumpur,Bakalan balik lagi,Neutral
Kuala Lumpur,Leo Palace Hotel,jadi agak horror kalau pulang malam.,Neutral
Kuala Lumpur,Leo Palace Hotel,"Tapi fasilitas yang biasanya kita dapat di hotel - hotel lain tidak dapat sendal, set pasta gigi dan sikat gigi, hanya sabun badan dan sampo saja.",Neutral
Kuala Lumpur,Leo Palace Hotel,Lalu tidak ada telepon di dalam kamar tidur sebab kita jadi mau hubungi /pesan - pesan apa - apa susah.,Neutral
Kuala Lumpur,Leo Palace Hotel,Mesti harus turun lantai dasar kalau mau tanya - tanya sesuatu.,Neutral
Kuala Lumpur,City Central Hotel @ KL Sentral,Lokasi di jalan utama depan persis NU Sentral Mall.,Neutral
Kuala Lumpur,City Central Hotel @ KL Sentral,hotelnya ada di depan nu sentral dan sangat dekat dengan kl sentral.,Neutral
Badung,J Hotel Kuta,Untuk loundry pakaian dekat di belakang hotel dan murah harganya.,Neutral
Badung,J Hotel Kuta,Hanya kurang water heater di kamar jadi ketika baby saya minta susu tengah malam harus turun ke lobby minta air.,Neutral
Kuala Lumpur,"Avenue J Hotel, Central Market KL",ada warung makan di belakang hotel.,Neutral
Kuala Lumpur,"Avenue J Hotel, Central Market KL",kalau ke kl lagi pasti menginap sini lagi.,Neutral
Kuala Lumpur,"Avenue J Hotel, Central Market KL",Toiletries komplit.,Neutral
Kuala Lumpur,Neotel Hotels Kuala Lumpur,Tapi harus bayar deposit yang tidak di lampirkan..,Neutral
Kuala Lumpur,Neotel Hotels Kuala Lumpur,3 malam menginap disini.,Neutral
Kuala Lumpur,Neotel Hotels Kuala Lumpur,Banyak makanan indonesia di samping hotel.,Neutral
Kuala Lumpur,Neotel Hotels Kuala Lumpur,Di chow kit pasar.,Neutral
Kuala Lumpur,Neotel Hotels Kuala Lumpur,Mohon pelayanan diperbaiki.,Neutral
Kuala Lumpur,33 Star Hotel,Ada nilai kelebihan dan kekurangannya.,Neutral
Kuala Lumpur,33 Star Hotel,Dan untuk yang bawa koper jangan coba2 deh.,Neutral
Kuala Lumpur,33 Star Hotel,Kamar berada dilantai 3 gak kebayang angkat koper super berat menaiki tangga ..,Neutral
Kuala Lumpur,33 Star Hotel,tidak jauh dari pusat perbelanjaan.,Neutral
Kuala Lumpur,33 Star Hotel,keluar dari hotel udah banyak tempat shoping.,Neutral
Kuala Lumpur,33 Star Hotel,cuma ada serangganya.,Neutral
Kuala Lumpur,33 Star Hotel,"sayang nya tidak ada tv dan tidak disediakan handuk, keset kaki, sikat gigi.",Neutral
Kuala Lumpur,33 Star Hotel,shower tidak ada air panas juga,Neutral
Kuala Lumpur,33 Star Hotel,Yang jual juga orang indonesia.,Neutral
Kuala Lumpur,33 Star Hotel,Serasa makan d rumah sendiri.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Dekat ke mall mall di bukit bintang dan jalan alor.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Cuma pas hari terakhir mau check out kartu masuk kamar tidak bisa untuk buka pintu kamar.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Padahal masih jam 11.30 kita tidak bisa buka kamarnya.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Harusnya check out jam 12.00.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Setelah tanya ke resepsionis bawah kartu ditukar dengan yang lain baru bisa.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Saat sore aja lorong mati lampunya.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,Malem2 pulang buka lift gelap gulita.,Neutral
Kuala Lumpur,Hotel Ambassador Bukit Bintang,"dekat ke mall dan tempat makan , hanya koridor menuju kamar gelap..,",Neutral
Kuala Lumpur,Fahrenheit Suites Kuala Lumpur,"Walaupun bagaimana juga, pelayanan apartment berbeda dengan hotel, jadi jangan berharap seperti menginap di hotel, menginap disini tourist harus bawa sendiri koper ke lobby atas untuk check jadi please be aware.",Neutral
Kuala Lumpur,Fahrenheit Suites Kuala Lumpur,"Liburan bersama keluarga ramai-ramai, fahrenheit suites bisa jadi pilihan utama",Neutral
Kuala Lumpur,Fahrenheit Suites Kuala Lumpur,Lift mati jadi harus turun tangga dari lantai 15 ke lobby,Neutral
Kuala Lumpur,Fahrenheit Suites Kuala Lumpur,Masih direnovasi jadi sangat terganggu akses keluar masuk n jalan menuju kamar agak menyeramkan,Neutral
Kuala Lumpur,Fahrenheit Suites Kuala Lumpur,Dekat dengan banyak mall di bukit bintang.,Neutral
Kuala Lumpur,Dragon Inn Premium Hotel,"Dekat dengan pusat perbelanjaan centra market, jalan kasturi, jalan petalling dan jalan masjid india.",Neutral
Kuala Lumpur,Dragon Inn Premium Hotel,"Selain itu dekta dengan objek wisata dataran merdeka, kl galery, sultan samad building, museum textil, serta dekat dengan LRT pasar seni, masjid jamek dan terminal pudu.",Neutral
Kuala Lumpur,Hotel Tai Ichi Bukit Bintang,Sarapan pagi tidak ada kopi teh gula air mineral di kamar hotel ada daftar harga nya...,Neutral
Kuala Lumpur,Hotel Tai Ichi Bukit Bintang,"Kalau kalian dari Kuala Lumpur International Airport 2 naik bus, nanti di Kuala Lumpur sentral tinggal naik MRT Kajang (platform 1) dan turun di stasiun Bukit Bintang keluar dari pintu E tinggal nyebrang dan sampai di Hotel.",Neutral
Kuala Lumpur,Hotel Tai Ichi Bukit Bintang,"Menginap disini dijamin tidak bakal kelaparan, karena ke tempat makan aja dekat.",Neutral
Kuala Lumpur,Hotel Tai Ichi Bukit Bintang,Dekat dengan mal.,Neutral
Kuala Lumpur,Hotel Tai Ichi Bukit Bintang,"Air minum, gula kopi teh di kamar disedia kan. tapi harus bayar.",Neutral
Kuala Lumpur,Hotel Tai Ichi Bukit Bintang,makan pagi tidak ada.,Neutral
Kuala Lumpur,Prescott Hotel Kuala Lumpur Sentral,Ditempat tidur ada serangga kecil-kecil.,Neutral
Kuala Lumpur,Prescott Hotel Kuala Lumpur Sentral,Jalan keluar nya kamar di semprot pengharum.,Neutral
Kuala Lumpur,Prescott Hotel Kuala Lumpur Sentral,"Ok.sebanding dengan price, bisa jadi alternative tinggal.",Neutral
Kuala Lumpur,Lavana Hotel Chinatown,Hotel yang dekat kalau mau berpergian kemana mana,Neutral
Kuala Lumpur,Koptown Hotel Kuala Lumpur,"Walaupun tidak memiliki layanan breakfast, tapi di samping hotel ada resto yang buka hingga pukul 11 malam dengan variasi makanan yang cukup beragam dan harganya pun sangat terjangkau",Neutral
Kuala Lumpur,Koptown Hotel Kuala Lumpur,"hanya sewa kamar tidak include breakfast, tidak ada fasilitas untuk menambah extra bed.",Neutral
Kuala Lumpur,Worldview Grand Hotel,"Jauh dari keramaian publik, susah cari makan, ATM",Neutral
Kuala Lumpur,Worldview Grand Hotel,Ruang ekonomi tapi WiFi keluar.,Neutral
Kuala Lumpur,Worldview Grand Hotel,jadi lambat di lantai 3,Neutral
Kuala Lumpur,Sunway Velocity Hotel,Pasti akan datang kembali untuk tinggal di hotel ini lagi.,Neutral
Kuala Lumpur,Sunway Velocity Hotel,TV di ruangan tidak berfungsi.,Neutral
Kuala Lumpur,Sunway Velocity Hotel,Tidak ada sarapan prasmanan,Neutral
Kuala Lumpur,Sunway Velocity Hotel,Pergi ke sana lagi untuk perjalanan berikutnya.,Neutral
Kuala Lumpur,Sunway Velocity Hotel,Tidak ada pengaturan dan pengumuman yang tepat untuk yang terlambat.,Neutral
Kuala Lumpur,Sunway Velocity Hotel,Nilai untuk uang Pilihan yang baik untuk tinggal di akhir pekan.,Neutral
Kuala Lumpur,Hotel Signature International @ Pudu,Kalau menginap di hotel ini request lantai 5.,Neutral
Kuala Lumpur,Hotel Signature International @ Pudu,Signature merupakan hotel di level menengah dan kalau menginap di hotel ini usahakan di lantai 5 karena lebih bersih (jangan lantai 4).,Neutral
Kuala Lumpur,Hotel Signature International @ Pudu,View kamar Kuala Lumpur City Centre dan Kuala Lumpur Tower.,Neutral
Kuala Lumpur,Hotel Signature International @ Pudu,Pokoknya kalau kesini bakal stay disini lagi,Neutral
Kuala Lumpur,LaComme Inn,Makanan di sekitar sangat banyak.,Neutral
Kuala Lumpur,LaComme Inn,WiFi tidak stabil.,Neutral
Kuala Lumpur,LaComme Inn,"Tidak sesuai dengan yang ditampilkan difoto, tdk ada lift.",Neutral
Kuala Lumpur,LaComme Inn,"Harus naik turun tangga, saya menginap dapat dilantai 3, tdk disediakan air minum.",Neutral
Kuala Lumpur,LaComme Inn,Jadi kl mau bikin teh/kopi harus turun ke lantai 1.,Neutral
Kuala Lumpur,LaComme Inn,AC tidak dingin.,Neutral
Kuala Lumpur,LaComme Inn,"Dekat dengan pusat kota, lokasi yang selalu ramai sampai pagi",Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,Grab mudah didapat karena alamat hotel jelas.,Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,Kalau ada anak kecil harus hati2.,Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,4 Malam di Deluxe Zen Single.,Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,"Daily housekeeping, air mineral, kopi dan tea.",Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,Voucher discount di restaurant di di depannya.,Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,Uang depost saat checkin RM200 tapi dikembalikan saat Checkout.,Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,"Hal yang menarik disini adalah lokasinya, dekat alor",Neutral
Kuala Lumpur,Le Apple Boutique Hotel Bukit Bintang,Deposit 200RM yang sangat memberatkan jika pake card d blok 3 minggu baru cair.,Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,"Harga dan pelayanan sesuai, cuma harus teliti minta kuitansi setelah lakukan pembayaran agar tidak dilakukan penagihan double untuk pajak.",Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,Water Heater tidak berfungsi.,Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,"Lif tidak berfungsi,jadi saya harus naik tangga ke lantai 4 untuk memasuki kamar.. sangat pegal",Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,Hanya tidak ada layanan kamar untuk kebersihan.,Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,Lokasi tepat di belakang tempat hiburan malam jl. Changkat.,Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,Dekat dengan jl.Alor dan bukit bintang.,Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,"Kalau ke KLlagi, hotel ini jadi alternatif ke2 saja.",Neutral
Kuala Lumpur,V'la Heritage Hotel Kuala Lumpur,Saya baru pertama kali check in di hotel ini.,Neutral
Kuala Lumpur,Royal Palm Lodge,bisa titip koper.,Neutral
Kuala Lumpur,Royal Palm Lodge,Ada kayak semut gitu.,Neutral
Kuala Lumpur,Royal Palm Lodge,TV tidak bisa nyala.,Neutral
Kuala Lumpur,Tune Hotel Kuala Lumpur PWTC,Check in memakan waktu 1 jam setengah.,Neutral
Kuala Lumpur,Tune Hotel Kuala Lumpur PWTC,"Setelah penundaan check out tamu lain, ada juga yang ok.",Neutral
Kuala Lumpur,Tune Hotel Kuala Lumpur PWTC,Layak harga yang harus dibayar.,Neutral
Kuala Lumpur,V E Hotel & Residence,Terbaik....4 bintang hotel....,Neutral
Kuala Lumpur,"Furama Bukit Bintang, Kuala Lumpur",Itu aja.,Neutral
Kuala Lumpur,"Furama Bukit Bintang, Kuala Lumpur",Kami menginap 3 malam di Family Room.,Neutral
Kuala Lumpur,"Furama Bukit Bintang, Kuala Lumpur",Banyak tempat makan dekat hotel.kami akan menginap lagi di hotel furama,Neutral
Kuala Lumpur,Ancasa Hotel & Spa Kuala Lumpur by Ancasa Hotels & Resorts,"lokasi di depan jalan raya, paling street cuma jalan ke sebelah hotel cuma lewati beberapa gedung, mencari makan dan hiburan gampang banget, pokoknya ok.",Neutral
Kuala Lumpur,Ancasa Hotel & Spa Kuala Lumpur by Ancasa Hotels & Resorts,sudah beberapa kali menginap di hotel ini.,Neutral
Kuala Lumpur,Pearl International Hotel Kuala Lumpur,"Ok, biar hotel lama, kita sering ke hotel ini.",Neutral
